range,angle_of_elevation,time_of_flight,rate_of_fire
1.0,0.355,1.09,11.935
2.0,0.7683333000000001,2.32,11.862
3.0,1.256667,3.71,11.781
4.0,1.833333,5.28,11.691
5.0,2.5266669999999998,7.06,11.591
6.0,3.355,9.08,11.479
7.0,4.353333,11.37,11.354
8.0,5.545,13.92,11.219
9.0,6.94,16.71,11.075
10.0,8.556667,19.71,10.923
11.0,10.395,22.85,10.582
12.0,12.445,26.14,9.577
13.0,14.711670000000002,29.72,8.669
14.0,17.206670000000006,33.5,7.854
15.0,19.925,37.52,7.127
16.0,22.96167,41.8,6.462
