"range","penetrative"
"1","2.362"
"2","1.135"
"3","0.615"
"4","0.373"
"5","0.256"
"6","0.171"
"7","0.126"
"8","0.094"
"9","0.068"
"10","0.055"
"11","0.042"
"12","0.036"
"13","0.029"
"14","0.022"
"15","0.015"
"16","0.014"
