"range","penetrative","non_penetrative"
"1","1.79","0.99"
"2","1.439","0.796"
"3","0.712","0.394"
"4","0.46","0.254"
"5","0.31","0.172"
"6","0.218","0.12"
"7","0.159","0.088"
"8","0.126","0.07"
"9","0.103","0.057"
"10","0.081","0.045"
"11","0.066","0.037"
"12","0.053","0.03"
"13","0.044","0.025"
"14","0.036","0.02"
"15","0.028","0.015"
"16","0.022","0.012"
