"range","penetrative","non_penetrative"
"1","0.717","0.251"
"2","0.68","0.238"
"3","0.418","0.146"
"4","0.267","0.093"
"5","0.172","0.06"
"6","0.119","0.042"
"7","0.087","0.03"
"8","0.066","0.023"
"9","0.052","0.018"
"10","0.041","0.014"
"11","0.032","0.011"
"12","0.026","0.009"
"13","0.02","0.007"
"14","0.015","0.005"
"15","0.011","0.004"
"16","0.008","0.003"
