"range","large","intermediate","small","destroyer","submarine"
"2","99.1","95.9","80.9","56.5","17.4"
"4","58.1","45.9","26.2","16.8","5.8"
"6","31.1","22","12.6","8.3","2.7"
"8","19","13.2","7.4","4.9","1.5"
"10","12.8","8.7","4.8","3.1","0.9"
"12","9","6.1","3.2","1.9","0.6"
"14","6.6","4.4","2.2","1.3","0.4"
"16","4.7","3.1","1.5","0.8","0.3"
