"range","large","intermediate","small","destroyer","submarine"
"2","99.1","95.9","80.9","56.5","17.4"
"4","58.1","45.9","26.2","16.8","5.8"
"6","31.1","22","12.6","8.3","2.7"
"8","19","13.2","7.4","4.9","1.5"
"10","13","9","4.9","3.2","0.9"
"12","9.5","6.4","3.3","2.1","0.6"
"14","7.3","4.9","2.4","1.5","0.4"
"16","5.6","3.7","1.7","1","0.3"
