time,a_staying_power,b_staying_power
09:40,64.0,40.0
09:41,63.89920956966336,40.0
09:42,63.798419139326725,40.0
09:43,63.69762870899009,40.0
09:44,63.60030374597996,40.0
09:45,63.50297878296983,40.0
09:46,63.405653819959696,40.0
09:47,63.31872530205594,40.0
09:48,63.23179678415218,40.0
09:49,63.14486826624842,40.0
09:50,63.067071821548836,40.0
09:51,62.98927537684925,40.0
09:52,62.91147893214966,40.0
09:53,62.83299785852601,40.0
09:54,62.75451678490235,40.0
09:55,62.67603571127869,40.0
09:56,62.592325155045394,40.0
09:57,62.508614598812095,40.0
09:58,62.424904042578795,40.0
09:59,62.325275457359716,40.0
10:00,62.225646872140636,40.0
10:01,62.12601828692156,40.0
10:02,61.99222518194285,38.936396753786525
10:03,61.86198964648355,37.875084058049325
10:04,61.73530401904715,36.81600100686535
10:05,61.58714180618095,35.635661963000864
10:06,61.443729746505994,34.458155684722456
10:07,61.305056439848265,33.28339135217648
10:08,61.168240348234235,32.0960236693304
10:09,61.03630509955946,30.911305865876166
10:10,60.909239801119604,29.72914340874411
10:11,60.77496823960596,28.47889636017098
10:12,60.64634341406387,27.231405422559636
10:13,60.52335287652882,25.986554688783247
10:14,60.397401000019144,24.688034191214662
10:15,60.27774280481173,23.392215974428318
10:16,60.16436519346679,22.098965008327767
10:17,60.16436519346679,22.098965008327767
10:18,60.16436519346679,22.098965008327767
10:19,60.16436519346679,22.098965008327767
10:20,60.05516584974998,20.792282052758587
10:21,59.95242332069125,19.48797074892603
10:22,59.85612588706243,18.185890864158587
10:23,59.75741505838475,16.80552774316539
10:24,59.666196674733115,15.427441027227312
10:25,59.58245838005463,14.051457930440714
10:26,59.501933597293025,12.628240077947572
10:27,59.42956485847802,11.206945682651572
10:28,59.36534114084074,9.787379925009072
10:29,59.30443296891566,8.290615427368953
10:30,59.25283936228304,6.795386593259131
10:31,59.21055076430372,5.301458576717758
10:32,59.172103275277806,3.6476688436526548
10:33,59.14564947849584,1.9949529743127226
10:34,59.13118158603245,0.34297597696357385
10:35,59.128314352103544,0.0
