"designation","type","caliber","max_range","long_to_hit","long_min","effective_to_hit","effective_min","short_to_hit","first_regression_term","second_regression_term","third_regression_term"
"6 in XII","secondary","6","13100","0.0417","11000","0.16699999999999998","8000","0.41700000000000004","-0.00000000008650843972867618","-0.000044689884431491685","0.5973906275149666"
"6 in VII","secondary","6","12200","0.0417","11000","0.16699999999999998","8000","0.41700000000000004","-0.000000001985239179440376","-0.000018575758167731762","0.5230310564813343"
"5.5 in","secondary","5.5","17900","0.0333","11000","0.16699999999999998","8000","0.41700000000000004","0.00000000187324003561936","-0.00007112396161694813","0.6719899610005762"
"4 in IX","secondary","4","13400","0.04","10000","0.2","6000","0.4","0.000000000444761311060198","-0.000046615544574309034","0.5374022166350405"
"4 in VII","secondary","4","11000","0.0333","9000","0.111","6000","0.33299999999999996","0.0000000021675397017610796","-0.00007158411237587815","0.5279353250527632"
