"designation","type","caliber","max_range","long_to_hit","long_min","effective_to_hit","effective_min","short_to_hit","first_regression_term","second_regression_term","third_regression_term"
"7.5 in VI","cruiser","7.5","20900","0.0417","12000","0.16699999999999998","9000","0.41700000000000004","0.0000000014795784624029786","-0.00006276238222444576","0.6678883552678748"
"6 in XII","cruiser","6","18800","0.05","11000","0.2","8000","0.5","0.0000000021218968576602286","-0.00008184890416690363","0.7916927972027185"
