designation,type,caliber,max_range,long_to_hit,long_min,effective_to_hit,effective_min,short_to_hit,first_regression_term,second_regression_term,third_regression_term
6 in XII,secondary,6.0,13100,0.0417,11000,0.16699999999999998,8000,0.41700000000000004,-8.650843972867618e-11,-4.4689884431491685e-05,0.5973906275149666
6 in VII,secondary,6.0,12200,0.0417,11000,0.16699999999999998,8000,0.41700000000000004,-1.985239179440376e-09,-1.8575758167731762e-05,0.5230310564813343
5.5 in,secondary,5.5,17900,0.0333,11000,0.16699999999999998,8000,0.41700000000000004,1.87324003561936e-09,-7.112396161694813e-05,0.6719899610005762
4 in IX,secondary,4.0,13400,0.04,10000,0.2,6000,0.4,4.44761311060198e-10,-4.6615544574309034e-05,0.5374022166350405
4 in VII,secondary,4.0,11000,0.0333,9000,0.111,6000,0.33299999999999996,2.1675397017610796e-09,-7.158411237587815e-05,0.5279353250527632
