designation,type,caliber,max_range,long_to_hit,long_min,effective_to_hit,effective_min,short_to_hit,first_regression_term,second_regression_term
7.5 in VI,cruiser,7.5,20900,0.0417,12000,0.16699999999999998,9000,0.41700000000000004,-0.2902455669987862,2.857448713468389
6 in XII,cruiser,6.0,18800,0.05,11000,0.2,8000,0.5,-0.3428084681879548,3.3423852853890352
