"designation","type","caliber","max_range","long_to_hit","long_min","effective_to_hit","effective_min","short_to_hit"
"7.5 in VI","cruiser","7.5","20900","0.0417","12000","0.167","9000","0.417"
"6 in XII","cruiser","6","18800","0.05","11000","0.2","8000","0.5"
