"range","large","intermediate","small","destroyer","submarine"
"2","99.9","98.6","87.5","64.3","20.5"
"4","64.1","48.8","29.7","19.9","6.2"
"6","34.3","24.3","14.3","9.4","3"
"8","20.9","14.6","8.3","5.5","1.7"
"10","13.9","9.6","5.4","3.5","1"
"12","10.1","6.9","3.6","2.3","0.7"
"14","7.6","5.2","2.6","1.6","0.5"
"16","5.8","3.9","1.8","1.1","0.3"
"18","4.5","2.9","1.3","0.8","0.2"
"20","3.2","1.9","0.8","0.5","0.1"
