"name","type","date","size","tonnage","speed","drive","life","side","deck","primary_type","primary_caliber","primary_fire_effect_table","primary_RN_table","primary_RN_designation","primary_total","primary_side","primary_bow","primary_stern","primary_end_arc","secondary_type","secondary_caliber","secondary_fire_effect_table","secondary_total","secondary_side","secondary_bow","secondary_stern","secondary_end_arc","torpedoes_type","torpedoes_mount","torpedoes_total","torpedoes_side","source"
"Dresden","CL","1908","S","3664","24","T","2.37","4","1.75","10.5 cm (4.1 in) SK L/40","4.1","4-in/45","destroyer_guns","4 in V","10","5","2","2","30","5.2 cm (2 in) SK L/55","2","NA","8","4","2","2","30","B 17.7 in","S","2","2","Conway's"
"Emden","CL","1909","S","3664","23.5","R","2.37","4","1.75","10.5 cm (4.1 in) SK L/40","4.1","4-in/45","destroyer_guns","4 in V","10","5","2","2","30","5.2 cm (2 in) SK L/55","2","NA","8","4","2","2","30","B 17.7 in","S","2","2","Conway's"
