"range","penetrative","non_penetrative"
"1","0.717","0.382"
"2","0.568","0.303"
"3","0.253","0.135"
"4","0.157","0.084"
"5","0.1","0.053"
"6","0.065","0.035"
"7","0.046","0.025"
"8","0.035","0.019"
"9","0.026","0.014"
"10","0.021","0.011"
"11","0.016","0.009"
"12","0.013","0.007"
"13","0.01","0.005"
"14","0.007","0.004"
"15","0.005","0.003"
"16","0.004","0.002"
