"range","penetrative"
"1","1.747"
"2","0.848"
"3","0.406"
"4","0.236"
"5","0.154"
"6","0.104"
"7","0.073"
"8","0.053"
"9","0.043"
"10","0.032"
"11","0.022"
"12","0.017"
"13","0.012"
"14","0.01"
"15","0.006"
"16","0.006"
